	model	years	severity	acc	diff	expected	unexpected	macrodiff
121	distilbert-base-uncased	7	M1	0.52	0.00026924523757771096	0.05108510823163665	0.05081586299405894	0.0002692452375777088
122	distilbert-base-uncased	7	M2	0.6666666666666666	-0.00022869510139571624	0.047885947910738906	0.048114643012134625	-0.0002286951013957192
123	distilbert-base-uncased	7	M3	0.6666666666666666	-0.0008123671665089173	0.06415391274850758	0.06496627991501651	-0.000812367166508926
124	distilbert-base-uncased	7	M4	0.5666666666666667	-0.0012611214711796544	0.0769380751434558	0.07819919661463544	-0.001261121471179641
125	distilbert-base-uncased	7	M5	0.5047619047619047	-0.0013995758953699677	0.06914018565806877	0.07053976155343875	-0.0013995758953699727
126	distilbert-base-uncased	7	M6	0.6	-0.0007189532926401759	0.06860102364792377	0.06931997694056394	-0.0007189532926401704
127	distilbert-base-uncased	7	M7	0.5785714285714286	0.0005038190306679797	0.04172054615701194	0.041216727126343965	0.0005038190306679777
128	distilbert-base-uncased	7	M8	0.5116279069767442	-0.00046562719337173603	0.0441109604869568	0.04457658768032854	-0.00046562719337173847
129	distilbert-base-uncased	7	M9	0.64	0.000832350308774038	0.04515753170395324	0.0443251813951792	0.0008323503087740367
130	distilbert/distilroberta-base	0	D1	0.2	-0.0028751578443916613	0.16150642016164055	0.16438157800603218	-0.0028751578443916292
131	distilbert/distilroberta-base	0	D2	0.16	-0.003298285013734127	0.14028080846579538	0.14357909347952952	-0.003298285013734137
132	distilbert/distilroberta-base	0	D3	0.2	-0.0031463717911265074	0.15567951181972145	0.15882588361084798	-0.0031463717911265343
133	distilbert/distilroberta-base	0	D4	0.2	-0.003068063971222733	0.14079897330640956	0.1438670372776323	-0.003068063971222751
134	distilbert/distilroberta-base	0	M1	0.12	-0.0030816169249737817	0.0868989621757282	0.08998057910070198	-0.0030816169249737735
135	distilbert/distilroberta-base	0	M2	0.2	-0.002203328420455369	0.09164841512950561	0.09385174354996098	-0.0022033284204553694
136	distilbert/distilroberta-base	0	M3	0.1111111111111111	-0.004816305722245796	0.1789288674707576	0.18374517319300337	-0.004816305722245784
137	distilbert/distilroberta-base	0	M4	0.23333333333333334	-0.0029373347673147987	0.18306384501386974	0.18600117978118455	-0.0029373347673148087
138	distilbert/distilroberta-base	0	M5	0.24285714285714285	-0.0026216551370019992	0.138375111395609	0.140996766532611	-0.0026216551370019936
139	distilbert/distilroberta-base	0	M6	0.2571428571428571	-0.0026224249543052537	0.18386796699900124	0.18649039195330647	-0.0026224249543052303
140	distilbert/distilroberta-base	0	M7	0.19310344827586207	-0.003499279700893034	0.16693494294252964	0.17043422264342267	-0.003499279700893032
141	distilbert/distilroberta-base	0	M8	0.17011494252873563	-0.0035408806455407846	0.14393033280905793	0.1474712134545987	-0.0035408806455407837
142	distilbert/distilroberta-base	0	M9	0.1391304347826087	-0.00394276043074095	0.1417515779707687	0.14569433840150967	-0.00394276043074096
143	distilbert/distilroberta-base	100	D1	0.4	-0.002550934398376124	0.07009828994999526	0.07264922434837137	-0.0025509343983761146
144	distilbert/distilroberta-base	100	D2	0.6	-0.000821798486963411	0.0729569060982794	0.07377870458524281	-0.0008217984869634126
145	distilbert/distilroberta-base	100	D3	0.65	-0.00033918105843042367	0.07423212317672775	0.07457130423515818	-0.0003391810584304211
146	distilbert/distilroberta-base	100	D4	0.64	-0.0003532084459811773	0.06738730373081121	0.0677405121767924	-0.00035320844598119017
147	distilbert/distilroberta-base	100	M1	0.64	0.0011516533014218986	0.055841116409655986	0.054689463108234096	0.00115165330142189
148	distilbert/distilroberta-base	100	M2	0.7666666666666667	0.002009806082984739	0.06098700518226296	0.05897719909927822	0.00200980608298474
149	distilbert/distilroberta-base	100	M3	0.7333333333333333	-0.0007861661346396489	0.10567697710713315	0.1064631432417728	-0.0007861661346396515
