	model	race	punishment	severity	acc	diff	expected	unexpected	macrodiff
527	distilroberta-base	White vs Hispanic	0	M4	0.6666666666666666	0.001488258697281707	0.19357246667362532	0.19208420797634362	0.001488258697281697
528	distilroberta-base	White vs Hispanic	0	M5	0.7904761904761904	0.0065250594161798715	0.17748398289279843	0.17095892347661856	0.006525059416179868
529	distilroberta-base	White vs Hispanic	0	M6	0.7214285714285714	0.002859649125613416	0.19171687786804664	0.18885722874243321	0.002859649125613428
530	distilroberta-base	White vs Hispanic	0	M7	0.7586206896551724	0.005044005655571678	0.19987112235081939	0.19482711669524772	0.005044005655571671
531	distilroberta-base	White vs Hispanic	0	M8	0.7724137931034483	0.006912633626060776	0.1793975913801398	0.17248495775407904	0.00691263362606076
532	distilroberta-base	White vs Hispanic	0	M9	0.808695652173913	0.0059421278557989414	0.16406185206181795	0.158119724206019	0.005942127855798951
533	distilroberta-base	White vs Hispanic	100	D1	0.6666666666666666	0.008628953419247404	0.13618889113774152	0.1275599377184941	0.00862895341924741
534	distilroberta-base	White vs Hispanic	100	D2	0.76	0.009304462503787357	0.1058358391733054	0.09653137666951803	0.009304462503787372
535	distilroberta-base	White vs Hispanic	100	D3	0.8	0.010516465523778603	0.09449510575564087	0.08397864023186227	0.010516465523778593
536	distilroberta-base	White vs Hispanic	100	D4	0.8	0.010849458575394242	0.1022146610133495	0.09136520243795526	0.010849458575394239
537	distilroberta-base	White vs Hispanic	100	M1	0.88	0.014107065037678689	0.10769597990743929	0.09358891486976059	0.014107065037678695
538	distilroberta-base	White vs Hispanic	100	M2	0.9333333333333333	0.01357338184376808	0.10863768426752354	0.09506430242375545	0.013573381843768093
539	distilroberta-base	White vs Hispanic	100	M3	0.8888888888888888	0.01778266146947215	0.10403806228682187	0.08625540081734973	0.017782661469472147
540	distilroberta-base	White vs Hispanic	100	M4	0.8666666666666667	0.010908900395346184	0.10097459641110614	0.09006569601575995	0.010908900395346185
541	distilroberta-base	White vs Hispanic	100	M5	0.8047619047619048	0.01262036495610075	0.12523119782304307	0.1126108328669423	0.012620364956100763
542	distilroberta-base	White vs Hispanic	100	M6	0.8071428571428572	0.011128003669624116	0.11363668988633431	0.1025086862167102	0.011128003669624117
543	distilroberta-base	White vs Hispanic	100	M7	0.8413793103448276	0.01511182119632802	0.12269372702992701	0.107581905833599	0.015111821196328007
544	distilroberta-base	White vs Hispanic	100	M8	0.8574712643678161	0.013389442280605108	0.11505732386052754	0.10166788157992243	0.01338944228060511
545	distilroberta-base	White vs Hispanic	100	M9	0.8782608695652174	0.013023596047969472	0.09987390276053144	0.08685030671256196	0.013023596047969488
546	distilroberta-base	White vs Hispanic	15	D1	0.5333333333333333	-0.004278439223586856	0.19631125876221628	0.20058969798580317	-0.004278439223586894
547	distilroberta-base	White vs Hispanic	15	D2	0.52	-0.0016829247216082921	0.14244511406453964	0.1441280387861479	-0.0016829247216082754
548	distilroberta-base	White vs Hispanic	15	D3	0.475	-0.0016020571192257214	0.1369779618558368	0.13858001897506253	-0.0016020571192257305
549	distilroberta-base	White vs Hispanic	15	D4	0.48	-0.0015882061063166475	0.14425056870728437	0.14583877481360102	-0.0015882061063166586
550	distilroberta-base	White vs Hispanic	15	M1	0.56	0.006927300321622176	0.11767021787985867	0.11074291755823648	0.0069273003216221846
551	distilroberta-base	White vs Hispanic	15	M2	0.6333333333333333	0.005031036146283438	0.11286667253813597	0.10783563639185254	0.005031036146283432
552	distilroberta-base	White vs Hispanic	15	M3	0.6444444444444445	-0.0004850172457129966	0.14385400638242973	0.14433902362814272	-0.000485017245712982
553	distilroberta-base	White vs Hispanic	15	M4	0.5	-0.007383976048731718	0.15834627401879206	0.16573025006752382	-0.007383976048731755
554	distilroberta-base	White vs Hispanic	15	M5	0.5619047619047619	0.001908876403710262	0.16353761869564287	0.1616287422919326	0.0019088764037102635
555	distilroberta-base	White vs Hispanic	15	M6	0.45714285714285713	-0.002994727291908409	0.15325907330655222	0.1562538005984606	-0.002994727291908389
