	model	race	punishment	severity	acc	diff	expected	unexpected	macrodiff
142	distilbert-base-uncased	Black vs Hispanic	2	M9	0.39	-0.0038442769078392285	0.08224599830668008	0.08609027521451931	-0.003844276907839228
143	distilbert-base-uncased	Black vs Hispanic	7	D1	0.26666666666666666	-0.004987612783346185	0.10515992949367495	0.11014754227702113	-0.004987612783346182
144	distilbert-base-uncased	Black vs Hispanic	7	D2	0.44	-0.004401428915734881	0.08044526558718638	0.08484669450292127	-0.00440142891573489
145	distilbert-base-uncased	Black vs Hispanic	7	D3	0.475	-0.006478495109149671	0.07588091696889018	0.08235941207803986	-0.006478495109149676
146	distilbert-base-uncased	Black vs Hispanic	7	D4	0.44	-0.004179275651404182	0.077823641388677	0.0820029170400812	-0.004179275651404191
147	distilbert-base-uncased	Black vs Hispanic	7	M1	0.56	-0.0024756789137609135	0.08412352222949263	0.08659920114325353	-0.002475678913760909
148	distilbert-base-uncased	Black vs Hispanic	7	M2	0.5	-0.002165515770805847	0.08389848886048028	0.08606400463128613	-0.0021655157708058564
149	distilbert-base-uncased	Black vs Hispanic	7	M3	0.4888888888888889	-0.006612294504884626	0.07247649828463582	0.07908879278952044	-0.006612294504884625
150	distilbert-base-uncased	Black vs Hispanic	7	M4	0.43333333333333335	-0.008599704597145326	0.07674640156522698	0.08534610616237231	-0.008599704597145333
151	distilbert-base-uncased	Black vs Hispanic	7	M5	0.47619047619047616	-0.0050771159898604715	0.09553513877097947	0.10061225476083992	-0.005077115989860451
152	distilbert-base-uncased	Black vs Hispanic	7	M6	0.5071428571428571	-0.005993222519984036	0.08042714536464435	0.0864203678846284	-0.005993222519984048
153	distilbert-base-uncased	Black vs Hispanic	7	M7	0.4642857142857143	-0.0032947009043190105	0.07670013474001146	0.07999483564433046	-0.003294700904319006
154	distilbert-base-uncased	Black vs Hispanic	7	M8	0.5232558139534884	-0.0024641556592541742	0.07982116589768715	0.08228532155694132	-0.0024641556592541747
155	distilbert-base-uncased	Black vs Hispanic	7	M9	0.545	-0.003757000663899813	0.06952463069399523	0.07328163135789505	-0.0037570006638998205
156	distilbert-base-uncased	White vs Black	15	D1	0.3333333333333333	-0.0015279702221353954	0.1296095192674935	0.13113748948962892	-0.0015279702221354108
157	distilbert-base-uncased	White vs Black	15	D2	0.24	-0.0013480471074581268	0.10891168556932822	0.11025973267678633	-0.0013480471074581168
158	distilbert-base-uncased	White vs Black	15	D3	0.25	-0.000475367900799034	0.10861246236636357	0.1090878302671626	-0.000475367900799023
159	distilbert-base-uncased	White vs Black	15	D4	0.2	-0.0014262476656585993	0.10488327712810129	0.10630952479375988	-0.0014262476656585893
160	distilbert-base-uncased	White vs Black	15	M1	0.2	-0.0020200383127667028	0.11157045491039749	0.1135904932231642	-0.002020038312766703
161	distilbert-base-uncased	White vs Black	15	M2	0.2	-0.0012413675062513596	0.11288108512865919	0.11412245263491054	-0.0012413675062513535
162	distilbert-base-uncased	White vs Black	15	M3	0.1111111111111111	-0.001464650892497352	0.11500032420477102	0.11646497509726837	-0.0014646508924973517
163	distilbert-base-uncased	White vs Black	15	M4	0.13333333333333333	-0.0004973280864457275	0.11665515571755042	0.11715248380399615	-0.0004973280864457308
164	distilbert-base-uncased	White vs Black	15	M5	0.18571428571428572	-0.001416066288549614	0.12499901777643699	0.1264150840649866	-0.0014160662885496222
165	distilbert-base-uncased	White vs Black	15	M6	0.2714285714285714	-0.0005657628600082337	0.1146762958557831	0.11524205871579132	-0.0005657628600082287
166	distilbert-base-uncased	White vs Black	15	M7	0.2	-0.00035127761314340426	0.10723047172655888	0.10758174933970228	-0.0003512776131434081
