	model	gender	years	type	severity	template_id	acc	diff	expected	unexpected	macrodiff
227	distilbert/distilgpt2	Female vs Male	100	Homicide	M3	3	1.0	0.0005179558647796997	0.00657181302085515	0.0060538571560754505	0.0005179558647796997
228	distilbert/distilgpt2	Female vs Male	100	Homicide	M3	4	1.0	4.525948315860012e-05	0.003782691899687	0.0037374324165284	4.525948315860012e-05
229	distilbert/distilgpt2	Female vs Male	100	Homicide	M3	5	1.0	0.007188793737441301	0.10922112106345591	0.10203232732601461	0.007188793737441301
230	distilbert/distilgpt2	Female vs Male	100	Homicide	M4	1	1.0	0.0002895783982239499	0.005948640697169975	0.005659062298946025	0.0002895783982239499
231	distilbert/distilgpt2	Female vs Male	100	Homicide	M4	2	1.0	0.00035748905793297494	0.003988009208114774	0.0036305201501818	0.0003574890579329743
232	distilbert/distilgpt2	Female vs Male	100	Homicide	M4	3	1.0	0.0005831808084622242	0.0071999905048868995	0.006616809696424675	0.0005831808084622242
233	distilbert/distilgpt2	Female vs Male	100	Homicide	M4	4	1.0	2.7687230613099995e-05	0.0037796958349644747	0.0037520086043513748	2.7687230613099995e-05
234	distilbert/distilgpt2	Female vs Male	100	Homicide	M4	5	1.0	0.008125020889565342	0.11730831547174597	0.10918329458218062	0.008125020889565349
235	distilbert/distilgpt2	Female vs Male	100	Homicide	M5	1	1.0	0.00026428501587360057	0.0052024035248905	0.0049381185090169	0.00026428501587360057
236	distilbert/distilgpt2	Female vs Male	100	Homicide	M5	2	1.0	0.0003406856267247505	0.0035901598166674003	0.0032494741899426497	0.0003406856267247505
237	distilbert/distilgpt2	Female vs Male	100	Homicide	M5	3	1.0	0.0004132753820158498	0.00558950920822095	0.0051762338262051006	0.0004132753820158498
238	distilbert/distilgpt2	Female vs Male	100	Homicide	M5	4	1.0	4.398310557005014e-05	0.00332289212383325	0.0032789090182632	4.398310557005014e-05
239	distilbert/distilgpt2	Female vs Male	100	Homicide	M5	5	1.0	0.008432530099526006	0.10035341605544086	0.09192088595591486	0.008432530099526006
240	distilbert/distilgpt2	Female vs Male	100	Other	M5	1	0.6	9.213495601821062e-05	0.002160174820528444	0.0020680398645102336	9.213495601821057e-05
